tc,tc,tc,tc, , ,tc,tc,tc,tc,tc,tc,tc,tc
lc,wtl,wtr,v, , ,v,wtl,wmt,wmt,wmt,wmt,wtr,rc
lc,wbl,wbr,v, , ,v,wbl,wmb,wmb,wmb,wmb,wbr,rc
lc, , ,v, , , , , , , , , ,rc
lc, , ,v, , , , , , , , , ,rc
lc, , ,c,h,h,h,h, , ,h,h,h,rc
lc, , , , , , , , , , , , ,rc
lc, , , , , , , , , , , , ,rc
lc, , ,c,h,h,h,h,h,h,h,h,h,rc
lc, , , , , , , , , , , , ,rc
lc, , , , , , , , , , , , ,rc
lc,h,h,h,h, , , ,h,h,h,h,h,rc
lc,wtl,wmt,wmt,wmt,dtr,dt,dtl,wmt,wmt,wmt,wmt,wtr,rc
lc,wbl,wmb,wmb,wmb,dbr,db,dbl,wmb,wmb,wmb,wmb,wbr,rc
